case,model,kv,context_k,budget,finished,functional,cpu_vision,args,gpu_total_peak,gpu_increment_peak,gpu_process_dedicated_peak,rss_peak,rss_load_peak,rss_active_peak,runtime_rss_peak,decode_tps,input_tokens,prefill_tps,recall,cached_followup,error
iq3-48-original,q3,q8_0,48,16,True,True,False,,16.904,14.253,0,13.254,10.89,13.254,13.254,86.32,,,,,
iq3-48-gpu-vision,q3,q8_0,48,16,True,True,False,,16.819,14.124,0,11.567,10.839,11.567,11.567,85.89,,,,,
iq3-48-cpu-vision,q3,q8_0,48,16,True,True,True,,15.604,12.95,0,12.977,11.167,12.977,12.977,87.27,40846,2254.0387502386257,True,True,
iq3-64-cpu-vision,q3,q8_0,64,16,True,True,True,,16.212,13.566,0,12.988,11.723,12.988,12.988,88.2,57233,2150.2812961830778,True,True,
iq3-32-cpu-vision,q3,q8_0,32,16,True,True,True,,15.091,12.431,0,12.812,11.713,12.812,12.812,85.43,24460,2319.9896607406868,True,True,
q5-96-gpu-vision,q5,q8_0,96,24,True,True,False,,25.316,22.991,0,18.618,17.896,18.618,18.618,62.78,,,,,
q5-96-cpu-vision,q5,q8_0,96,24,True,True,True,,24.247,21.923,0,19.996,18.54,19.996,19.996,62.53,89998,1864.2376358979775,True,True,
q5-64-cpu-vision,q5,q8_0,64,24,True,True,True,,23.044,20.723,0,19.98,18.284,19.98,19.98,62.29,57233,2034.6242779740946,True,True,
q5-f16-128,q5,f16,128,32,True,True,False,,29.97,27.654,0,19.033,17.916,19.033,19.033,62.78,122768,1829.1295346043364,True,True,
ornith-256,ornith_q5,q8_0,256,32,True,True,False,,30.227,27.906,0,24.237,23.244,24.237,24.237,239.89,253840,1894.8063105499348,True,True,
ornith-192,ornith_q5,q8_0,192,32,True,True,False,,29.453,27.129,0,24.031,23.225,24.031,24.031,226.67,188305,2018.4684050613457,True,True,
iq3-24-128,q3,q8_0,128,24,True,True,False,,19.521,17.162,0,12.038,10.878,12.038,12.038,87.27,122768,1790.1234963799309,True,True,
iq3-24-96,q3,q8_0,96,24,True,True,False,,18.506,16.147,0,12.017,10.868,12.017,12.017,86.82,89998,1949.8991072684023,True,True,
q4-24-96,q4,q8_0,96,24,True,True,False,,22.285,19.925,0,15.943,14.82,15.943,15.943,71.57,89998,1960.4602379685766,True,True,
q4-24-64,q4,q8_0,64,24,True,True,False,,21.216,18.858,0,15.641,14.822,15.641,15.641,71.57,57233,2148.219654897116,True,True,
q4-32-256,q4,q8_0,256,32,True,True,False,,28.37,25.919,25.893,15.759,14.878,15.759,15.759,71.57,253840,1360.033115675787,True,True,
q4-32-192,q4,q8_0,192,32,True,True,False,,25.952,23.514,23.502,16.0,14.86,16.0,16.0,71.59,188305,1551.4634924778634,True,True,
q4-f16-128,q4,f16,128,32,True,True,False,,26.877,24.447,24.371,15.97,14.851,15.97,15.97,72.53,122768,1932.0623442070123,True,True,
q4-f16-96,q4,f16,96,32,True,True,False,,24.807,22.376,22.363,15.793,14.827,15.793,15.793,73.85,89998,2074.6767023006787,True,True,
q5-32-192,q5,q8_0,192,32,True,True,False,,29.273,26.836,26.58,19.065,17.924,19.065,19.065,60.9,188305,1476.7764808063944,True,True,
q5-32-128,q5,q8_0,128,32,True,True,False,,26.713,24.188,24.189,19.03,17.92,19.03,19.03,61.82,122768,1728.2900754429559,True,True,
q5-f16-96,q5,f16,96,32,True,True,False,,27.906,25.44,25.441,19.014,17.921,19.014,19.014,62.53,89998,1973.8142383467778,True,True,
nemo-q4-32-512,nemotron_q4,q8_0,512,32,True,True,False,,27.89,25.424,25.42,23.735,23.081,23.735,23.735,281.15,515996,2481.2948558281687,True,True,
nemo-q4-32-256,nemotron_q4,q8_0,256,32,True,True,False,,26.775,24.31,24.311,23.742,22.383,23.742,23.742,263.16,253887,2947.8680958958025,True,True,
nemo-q5-32-512-cpu8,nemotron_q5,q8_0,512,32,True,True,False,--n-cpu-moe 8,29.596,27.13,26.926,28.11,23.789,28.11,28.11,118.27,65441,349.06652806984135,True,True,
nemo-q5-32-256-cpu8,nemotron_q5,q8_0,256,32,True,True,False,--n-cpu-moe 8,28.417,26.065,26.066,27.956,23.475,27.956,27.956,122.71,65441,348.59609972442865,True,True,
nemo-q4-24-512-cpu14,nemotron_q4,q8_0,512,24,True,True,False,--n-cpu-moe 14,23.083,20.731,20.52,23.691,17.507,23.691,23.691,70.64,65441,244.50442890377096,True,True,
nemo-q4-24-256-cpu12,nemotron_q4,q8_0,256,24,True,True,False,--n-cpu-moe 12,22.929,20.577,20.578,23.615,19.19,23.615,23.615,103.28,65441,282.1535839651113,True,True,
nemo-q5-24-512-cpu24,nemotron_q5,q8_0,512,24,True,True,False,--n-cpu-moe 24,21.944,19.593,19.381,28.132,16.379,28.132,28.132,55.14,65441,130.77543878425655,True,True,
nemo-q5-24-256-cpu22,nemotron_q5,q8_0,256,24,True,True,False,--n-cpu-moe 22,21.952,19.604,19.6,27.922,18.436,27.922,27.922,63.01,65441,145.4388472919686,True,True,
iq3-64-default-batch,q3,q8_0,64,16,True,True,True,,15.968,13.619,13.617,16.534,11.786,16.534,16.534,90.17,32657,3363.282316694685,True,True,
iq3-48-default-batch,q3,q8_0,48,16,True,True,True,,15.355,13.008,13.008,16.218,11.245,16.218,16.218,89.66,32657,3362.0758258111596,True,True,
q5-96-default-batch,q5,q8_0,96,24,True,True,True,,24.234,21.886,21.871,23.563,18.803,23.563,23.563,63.5,32657,3146.4332725215345,True,True,
q5-f16-128-default-batch,q5,f16,128,32,True,True,False,,29.994,27.63,27.631,23.819,18.04,23.819,23.819,64.26,32657,3139.9049463393126,True,True,
q4-256-default-batch,q4,q8_0,256,32,True,True,False,,28.5,26.136,26.137,19.467,15.082,19.467,19.467,74.17,32657,3400.0965336275785,True,True,
nemo-q5-32-512-cpu2,nemotron_q5,q8_0,512,32,True,True,False,--n-cpu-moe 2,31.374,29.01,29.085,29.184,26.468,29.184,29.184,199.06,32670,2855.6351532021467,True,True,
nemo-q5-32-256-gpu,nemotron_q5,q8_0,256,32,True,True,False,,31.174,28.883,28.883,28.557,26.861,28.557,28.557,272.15,32670,9671.237630508353,True,True,
nemo-q4-24-512-cpu10,nemotron_q4,q8_0,512,24,True,True,False,--n-cpu-moe 10,25.354,22.967,22.989,24.346,20.368,24.346,24.346,97.7,,,,,
nemo-q4-24-256-cpu8,nemotron_q4,q8_0,256,24,True,True,False,--n-cpu-moe 8,24.682,22.445,22.352,24.466,20.654,24.466,24.466,90.68,32670,1496.8860624846307,True,True,
nemo-q5-24-512-cpu18,nemotron_q5,q8_0,512,24,True,True,False,--n-cpu-moe 18,24.909,22.591,22.577,28.654,18.568,28.654,28.654,64.77,,,,,
nemo-q5-24-256-cpu16,nemotron_q5,q8_0,256,24,True,True,False,--n-cpu-moe 16,24.299,21.983,21.977,28.947,19.91,28.947,28.947,73.19,32670,608.0576390618695,True,True,
flash-256-cpu34-ub256,flash_next_q3,q8_0,256,32,True,False,False,--n-cpu-moe 34,22.327,20.147,20.148,10.049,10.049,0,0,,,,,,RuntimeError: Server exited during load: 1
flash-256-cpu32-ub256,flash_next_q3,q8_0,256,32,True,False,False,--n-cpu-moe 32,24.404,22.228,22.222,12.685,12.685,0,0,,,,,,RuntimeError: Server exited during load: 1
flash-256-cpu31-ub256,flash_next_q3,q8_0,256,32,True,True,False,--n-cpu-moe 31,31.713,29.534,29.853,37.162,35.437,37.162,37.162,25.7,8080,97.85738703163983,True,True,
flash-256-cpu34-retry,flash_next_q3,q8_0,256,32,True,True,False,--n-cpu-moe 34,28.976,27.248,27.178,39.834,38.079,39.834,39.834,20.92,8080,97.9511543892638,True,True,
flash-256-cpu32-retry,flash_next_q3,q8_0,256,32,True,True,False,--n-cpu-moe 32,31.269,29.589,29.25,37.755,36.004,37.755,37.755,16.52,8080,106.03344393767198,True,True,
nemo-q4-24-512-fast-confirm,nemotron_q4,q8_0,512,24,True,True,False,--n-cpu-moe 14,23.212,21.276,21.278,24.756,18.775,24.756,24.756,81.18,32670,879.0635530868623,True,True,
nemo-q4-24-256-fast-confirm,nemotron_q4,q8_0,256,24,True,True,False,--n-cpu-moe 12,22.576,20.641,20.641,24.466,18.775,24.466,24.466,107.37,32670,1019.6840344557088,True,True,
nemo-q5-24-512-fast-confirm,nemotron_q5,q8_0,512,24,True,True,False,--n-cpu-moe 21,23.454,21.519,21.499,29.208,18.689,29.208,29.208,64.51,32670,484.395392958323,True,True,
nemo-q5-24-256-fast-confirm,nemotron_q5,q8_0,256,24,True,True,False,--n-cpu-moe 18,22.841,20.911,20.899,28.808,20.007,28.808,28.808,60.89,32670,542.8175776071275,True,True,
flash-final-256-cpu32,flash_next_q3,q8_0,256,32,True,True,False,--n-cpu-moe 32,31.717,29.811,29.25,41.394,36.004,41.394,41.394,24.47,253840,96.31294726202391,True,True,
flash-final-192-cpu32,flash_next_q3,q8_0,192,32,True,True,False,--n-cpu-moe 32,30.168,28.312,28.307,38.579,35.979,38.579,38.579,17.59,32657,105.91135001703117,True,True,
flash-final-128-cpu32,flash_next_q3,q8_0,128,32,True,True,False,--n-cpu-moe 32,29.549,27.7,27.363,38.523,35.896,38.523,38.523,23.65,32657,105.08958028648539,True,True,
flash-placement-24-256-cpu39,flash_next_q3,q8_0,256,24,True,True,False,--n-cpu-moe 39,24.447,22.45,21.989,45.02,43.267,45.02,45.02,24.14,8080,90.1834368631343,True,True,
flash-placement-16-256-cpu47,flash_next_q3,q8_0,256,16,True,False,False,--n-cpu-moe 47,13.833,11.734,11.883,49.543,49.543,0,0,,,,,,RuntimeError: Server exited during load: 1
